DATA,CO_ID,CL_ID,CL_GENERO,CL_EC,CL_FHL,CL_SEG,PR_ID,PR_CAT,PR_NOME
2019-01-02,2327,689,M,2,0,C,177,Alimentos,Limao
2019-01-02,2338,99,F,1,4,C,13,Alimentos,Banana
2019-01-02,2358,866,M,2,2,C,71,Higiene,Absorvente
2019-01-02,2390,801,M,1,4,B,23,Alimentos,Cogumelos
2019-01-02,2424,279,M,1,2,B,221,Alimentos,Banana
2019-01-02,2522,340,M,3,4,B,223,Alimentos,Azeitona
2019-01-02,2599,52,F,1,0,A,137,Alimentos,Requeijao
2019-01-02,2668,574,F,2,2,B,113,Limpeza,Tira Mancha
2019-01-02,2757,328,M,2,0,B,19,Alimentos,Cafe
2019-01-02,2830,466,F,1,0,C,168,Alimentos,Mamao Papaya
2019-01-02,2880,296,F,1,3,B,4,Alimentos,Abacaxi
2019-01-02,2950,149,M,1,3,A,111,Limpeza,Sabao Em Po
2019-01-02,2995,406,M,2,4,C,178,Higiene,Lenco Umedecido
2019-01-02,3076,458,F,3,4,C,109,Limpeza,Rodo
2019-01-02,3157,776,F,2,0,B,59,Alimentos,Salgadinho
2019-01-02,3220,746,M,3,0,C,142,Bebidas,Refrigerante Laranja
2019-01-02,3305,45,M,2,0,A,48,Alimentos,Ovos
2019-01-02,3395,798,M,5,2,B,188,Alimentos,Hambuguer
2019-01-02,3444,709,F,3,0,B,154,Higiene,Preservativo
2019-01-02,3461,796,M,2,3,B,13,Alimentos,Banana
2019-01-02,3523,878,F,4,3,C,16,Alimentos,Bife De Coxao Mole
2019-01-02,3561,888,F,4,2,B,21,Alimentos,Cenoura
2019-01-02,3634,246,M,2,2,B,78,Higiene,Fralda
2019-01-02,3689,433,M,3,3,B,18,Alimentos,Brocolis
2019-01-02,3763,433,M,3,3,B,84,Higiene,Papel Higienico
2019-01-02,3855,545,M,2,2,B,18,Alimentos,Brocolis
2019-01-02,3949,943,F,1,0,C,67,Bebidas,Refrigerante Guarana
2019-01-02,3950,429,M,4,0,C,223,Alimentos,Azeitona
2019-01-02,3970,56,F,2,3,B,134,Limpeza,Sabao
2019-01-02,4009,922,M,1,0,B,47,Alimentos,Mortadela
2019-01-02,4017,305,F,4,0,B,69,Bebidas,Refrigerante Limao
2019-01-02,4064,453,F,1,0,B,203,Alimentos,Danette
2019-01-02,4113,236,M,2,2,C,76,Higiene,Fio Dental
2019-01-02,4153,193,F,4,0,B,201,Limpeza,Desinfetante
2019-01-02,4246,927,M,1,1,C,215,Alimentos,Cafe
2019-01-02,4251,594,F,3,1,C,82,Higiene,Lenco Umedecido
2019-01-02,4307,333,F,2,0,C,206,Alimentos,Coracao De Frango
2019-01-02,4382,199,M,3,3,B,62,Alimentos,Snacks
2019-01-02,4459,973,F,4,0,B,73,Higiene,Creme
2019-01-02,4521,686,F,3,2,A,93,Limpeza,Agua Sanitaria
2019-01-02,4578,523,M,3,0,B,189,Alimentos,Granola
2019-01-02,4581,406,M,2,4,C,123,Limpeza,Tira Mancha
2019-01-02,4680,225,M,4,0,C,62,Alimentos,Snacks
2019-01-09,4755,82,F,1,1,C,203,Alimentos,Danette
2019-01-09,4823,362,F,3,0,B,119,Pet,Racao Umida Para Gatos
2019-01-09,4906,394,M,1,0,B,182,Alimentos,Lata De Ervilha
2019-01-09,5000,243,F,1,4,C,53,Alimentos,Presunto Cozido
2019-01-09,5038,652,F,4,0,B,186,Higiene,Hidratante
2019-01-09,5082,160,F,3,4,B,223,Alimentos,Azeitona
2019-01-09,5151,79,F,2,0,C,86,Higiene,Preservativo
2019-01-09,5165,151,F,1,0,B,53,Alimentos,Presunto Cozido
2019-01-09,5198,933,M,2,2,B,159,Alimentos,Pao De Forma
2019-01-09,5279,6,F,2,0,B,53,Alimentos,Presunto Cozido
2019-01-09,5305,322,M,2,0,B,80,Higiene,Hastes Flexiveis
2019-01-09,5329,663,F,4,0,B,66,Bebidas,Refrigerante Cola
2019-01-09,5407,459,F,3,2,B,215,Alimentos,Cafe
2019-01-09,5506,761,F,1,4,B,129,Alimentos,Sardinha
2019-01-09,5524,384,F,3,2,C,178,Higiene,Lenco Umedecido
2019-01-09,5578,707,M,4,0,B,132,Higiene,Sabonete
2019-01-09,5583,954,F,4,2,B,59,Alimentos,Salgadinho
2019-01-09,5678,227,F,3,0,C,92,Higiene,Tinturas
2019-01-09,5693,458,F,3,4,C,81,Higiene,Hidratante
2019-01-09,5773,804,F,4,3,B,169,Alimentos,Mamao
2019-01-09,5872,462,F,4,0,A,89,Higiene,Sabonete
2019-01-09,5959,283,M,4,1,B,43,Alimentos,Mamao Papaya
2019-01-09,5998,25,M,4,1,C,75,Higiene,Escova De Dente
2019-01-09,6061,842,M,5,2,B,181,Alimentos,Lata De Milho
2019-01-09,6085,348,F,3,0,A,202,Limpeza,Desengordurante
2019-01-09,6142,757,F,4,3,C,220,Alimentos,Batata
2019-01-09,6166,44,F,4,0,C,91,Higiene,Talco
2019-01-09,6176,332,F,3,4,C,59,Alimentos,Salgadinho
2019-01-09,6243,38,M,3,0,B,178,Higiene,Lenco Umedecido
2019-01-09,6268,257,M,1,4,C,165,Alimentos,Molho Barbecue
2019-01-09,6303,886,F,5,1,B,104,Limpeza,Limpador Perfumado
2019-01-09,6336,4,M,4,0,B,106,Limpeza,Odorizador
2019-01-09,6428,865,F,1,0,B,25,Alimentos,Coracao De Frango
2019-01-09,6497,982,M,4,3,B,143,Bebidas,Refrigerante Guarana
2019-01-09,6531,516,M,1,0,C,17,Alimentos,Biscoito
2019-01-09,6623,443,F,4,0,C,125,Higiene,Tinturas
2019-01-09,6669,996,F,1,4,B,172,Limpeza,Lustra Moveis
2019-01-09,6740,847,M,4,2,A,168,Alimentos,Mamao Papaya
2019-01-09,6800,408,F,4,0,B,37,Alimentos,Leite
2019-01-09,6805,369,F,3,4,C,38,Alimentos,Leite Condensado
2019-01-09,6813,502,M,4,0,C,186,Higiene,Hidratante
2019-01-09,6879,163,F,3,0,A,126,Higiene,Talco
2019-01-09,6883,171,F,3,1,B,201,Limpeza,Desinfetante
2019-01-09,6912,597,M,3,0,C,164,Acessorios,Mordedor
2019-01-09,6922,289,F,3,4,C,172,Limpeza,Lustra Moveis
2019-01-09,6975,521,F,1,0,A,214,Alimentos,Cebola
2019-01-09,7042,770,M,2,3,B,32,Alimentos,Hambuguer
2019-01-09,7118,42,M,2,2,B,6,Alimentos,Alho
2019-01-09,7158,517,F,3,1,B,169,Alimentos,Mamao
2019-01-09,7164,628,M,3,0,B,100,Limpeza,Detergente
2019-01-09,7243,59,M,2,0,A,63,Alimentos,Tomate
2019-01-09,7286,418,M,2,2,A,106,Limpeza,Odorizador
2019-01-09,7329,113,F,3,0,B,206,Alimentos,Coracao De Frango
2019-01-09,7361,756,F,1,4,B,103,Limpeza,Limpador Multiuso
2019-01-09,7378,933,M,2,2,B,116,Pet,Racao Seca Para Caes
2019-01-09,7380,506,F,4,3,B,21,Alimentos,Cenoura
2019-01-09,7410,991,F,2,2,C,75,Higiene,Escova De Dente
2019-01-09,7419,773,M,4,0,B,208,Higiene,Condicionador
2019-01-09,7439,525,M,1,4,B,81,Higiene,Hidratante
2019-01-09,7481,52,F,1,0,A,94,Limpeza,Alcool
2019-01-09,7563,174,M,4,3,C,197,Higiene,Enxaguante Bucal
2019-01-09,7599,498,M,3,2,B,13,Alimentos,Banana
2019-01-09,7634,921,M,2,3,B,84,Higiene,Papel Higienico
2019-01-09,7711,916,F,3,4,C,175,Limpeza,Limpador Multiuso
2019-01-09,7784,96,F,1,1,C,137,Alimentos,Requeijao
2019-01-09,7865,957,M,2,3,B,170,Alimentos,Macarrao Instantaneo
2019-01-09,7882,110,M,3,0,C,198,Bebidas,Energetico
2019-01-09,7894,740,F,1,4,C,154,Higiene,Preservativo
2019-01-09,7915,780,M,3,2,B,141,Bebidas,Refrigerante Limao
2019-01-09,7928,350,F,5,1,B,47,Alimentos,Mortadela
2019-01-09,8004,768,F,4,0,B,148,Pet,Racao Seca Para Caes
2019-01-09,8022,892,F,4,2,B,28,Alimentos,Doce
2019-01-09,8120,75,M,1,0,B,37,Alimentos,Leite
2019-01-09,8218,880,M,3,2,B,33,Alimentos,Iogurte
2019-01-09,8250,583,F,2,0,B,139,Limpeza,Removedor
2019-01-09,8291,580,M,3,0,B,171,Alimentos,Macarrao
2019-01-09,8330,539,M,2,0,C,146,Pet,Racao Umida Para Caes
2019-01-09,8333,560,M,2,0,B,60,Alimentos,Salgadinhos De Milho
2019-01-09,8410,645,F,4,0,B,26,Alimentos,Coxa E Sobrecoxa De Frango
2019-01-09,8476,978,F,3,0,C,44,Alimentos,Mamao
2019-01-09,8562,831,F,4,2,B,82,Higiene,Lenco Umedecido
2019-01-09,8613,830,F,5,1,B,153,Alimentos,Presunto Cozido
2019-01-09,8701,651,F,2,0,B,105,Limpeza,Lustra Moveis
2019-01-09,8799,583,F,2,0,B,90,Higiene,Shampoo
,8878,814,M,4,0,B,122,Alimentos,Tomate
,8974,815,F,2,4,B,92,Higiene,Tinturas
,9064,301,F,3,0,C,216,Alimentos,Brocolis
,9158,122,M,3,3,B,12,Alimentos,Azeitona
,9215,750,M,2,2,C,129,Alimentos,Sardinha
,9248,802,M,1,1,B,212,Limpeza,Cera
,9329,351,F,2,2,B,64,Alimentos,Uva
,9352,304,F,2,3,B,58,Alimentos,Ricota
,9368,847,M,4,2,A,140,Bebidas,Refrigerante Outros
,9456,143,F,1,4,B,218,Alimentos,Bife De Coxao Mole
,9545,433,M,3,3,B,87,Higiene,Protetor Solar
,9560,935,F,2,0,B,205,Alimentos,Coxa E Sobrecoxa De Frango
,9607,512,M,4,0,B,152,Alimentos,Presunto Cozido
,9696,552,M,4,0,B,194,Alimentos,File De Peixe
,9755,759,F,3,0,B,228,Limpeza,Amaciante
,9826,487,F,3,0,C,136,Alimentos,Ricota
,9862,691,M,4,0,B,154,Higiene,Preservativo
,9939,828,F,2,4,B,138,Higiene,Repelente
,10008,425,F,3,0,B,130,Alimentos,Salgadinhos De Milho
,10051,659,F,2,2,B,53,Alimentos,Presunto Cozido
,10056,17,M,4,0,B,142,Bebidas,Refrigerante Laranja
,10106,464,M,2,2,B,210,Acessorios,Chupeta
,10126,742,M,1,1,C,87,Higiene,Protetor Solar
,10139,884,F,3,2,C,50,Alimentos,Pao De Forma
,10192,325,M,1,3,B,21,Alimentos,Cenoura
,10254,83,M,1,4,B,76,Higiene,Fio Dental
,10263,391,F,2,0,A,49,Alimentos,Palmito
,10326,785,M,1,4,C,71,Higiene,Absorvente
,10421,812,F,2,0,A,62,Alimentos,Snacks
,10453,398,F,4,1,B,95,Limpeza,Amaciante
,10483,206,F,3,1,C,61,Alimentos,Sardinha
,10541,491,M,2,1,A,196,Higiene,Escova De Dente
,10595,463,M,3,3,B,101,Limpeza,Inseticida
,10670,246,M,2,2,B,144,Bebidas,Refrigerante Cola
,10722,510,F,4,0,B,41,Alimentos,Macarrao
,10776,537,F,1,4,B,178,Higiene,Lenco Umedecido
,10807,898,F,4,0,C,27,Alimentos,Danette
,10808,425,F,3,0,B,193,Higiene,Fio Dental
,10869,482,M,4,2,B,205,Alimentos,Coxa E Sobrecoxa De Frango
,10900,527,F,4,1,B,31,Alimentos,Granola
,10944,5,F,4,3,C,6,Alimentos,Alho
,10954,34,M,2,0,C,9,Alimentos,Arroz Integral
,11035,971,F,1,2,A,66,Bebidas,Refrigerante Cola
,11095,571,F,2,0,B,21,Alimentos,Cenoura
,11100,460,F,1,3,B,98,Limpeza,Desengordurante
,11112,551,M,1,0,C,77,Higiene,Fixador
,11181,717,F,3,0,B,95,Limpeza,Amaciante
,11195,926,M,1,0,B,100,Limpeza,Detergente
,11270,951,M,2,0,B,3,Alimentos,Abacate
,11272,626,M,3,1,C,127,Alimentos,Snacks
,11279,914,M,2,4,B,127,Alimentos,Snacks
,11288,735,F,4,0,B,62,Alimentos,Snacks
,11376,166,F,1,0,B,190,Higiene,Gel
,11454,883,M,1,0,B,156,Higiene,Pasta De Dente
,11508,710,F,3,1,C,70,Bebidas,Refrigerante Outros
,11607,337,M,3,0,B,161,Alimentos,Ovos
,11626,897,M,2,1,C,154,Higiene,Preservativo
,11679,387,M,2,2,B,196,Higiene,Escova De Dente
,11740,768,F,4,0,B,110,Limpeza,Sabao
,11792,245,F,4,3,B,24,Alimentos,Copa Suina
,11800,421,M,3,3,C,128,Higiene,Shampoo
,11843,938,M,1,4,B,101,Limpeza,Inseticida
,11923,115,M,4,0,B,31,Alimentos,Granola
,11982,42,M,2,2,B,102,Limpeza,Limpa Vidros
,11983,750,M,2,2,C,36,Alimentos,Lata De Milho
,12044,110,M,3,0,C,112,Limpeza,Tira Limo
,12110,589,F,3,2,C,100,Limpeza,Detergente
,12159,10,M,1,0,B,87,Higiene,Protetor Solar
,12251,15,M,2,1,C,116,Pet,Racao Seca Para Caes
,12295,472,M,2,1,C,209,Alimentos,Cogumelos
,12344,969,M,1,3,B,126,Higiene,Talco
,12414,243,F,1,4,C,40,Alimentos,Linguica
,12457,842,M,5,2,B,24,Alimentos,Copa Suina
,12550,39,M,2,0,C,190,Higiene,Gel
,12580,359,F,1,0,B,190,Higiene,Gel
,12649,536,M,4,0,B,18,Alimentos,Brocolis
,12655,570,F,4,1,C,198,Bebidas,Energetico
,12717,766,F,1,0,B,111,Limpeza,Sabao Em Po
,12748,790,F,3,0,B,77,Higiene,Fixador
,12754,987,F,1,0,B,77,Higiene,Fixador
,12783,684,F,3,0,C,101,Limpeza,Inseticida
,12870,625,F,4,0,C,42,Alimentos,Macarrao Instantaneo
,12887,408,F,4,0,B,11,Alimentos,Azeite
,12913,192,F,4,0,B,168,Alimentos,Mamao Papaya
,12930,630,M,1,2,C,12,Alimentos,Azeitona
,13002,799,M,4,3,C,22,Alimentos,Cha
,13037,751,F,2,0,B,94,Limpeza,Alcool
,13068,396,F,1,0,B,149,Alimentos,Queijo Mussarela
,13112,57,M,2,0,B,106,Limpeza,Odorizador
,13197,71,F,3,1,B,5,Alimentos,Achocolatado
,13266,396,F,1,0,B,214,Alimentos,Cebola
,13284,310,M,4,3,C,21,Alimentos,Cenoura
,13350,171,F,3,1,B,147,Pet,Racao Seca Para Gatos
,13414,279,M,1,2,B,184,Alimentos,Iogurte
,13444,20,M,4,0,B,6,Alimentos,Alho
,13455,82,F,1,1,C,154,Higiene,Preservativo
,13460,303,M,3,4,B,44,Alimentos,Mamao
,13476,629,M,3,0,C,42,Alimentos,Macarrao Instantaneo
,13555,828,F,2,4,B,102,Limpeza,Limpa Vidros
,13638,455,F,2,0,C,199,Alimentos,Doce
,13695,447,M,2,0,B,218,Alimentos,Bife De Coxao Mole
,13721,603,M,3,0,B,43,Alimentos,Mamao Papaya
,13773,734,F,4,2,B,86,Higiene,Preservativo
,13788,971,F,1,2,A,29,Alimentos,Feijao
,13836,872,M,3,4,A,38,Alimentos,Leite Condensado
,13868,908,M,3,2,C,48,Alimentos,Ovos
,13935,960,F,4,2,B,221,Alimentos,Banana
,13992,533,F,4,0,A,17,Alimentos,Biscoito
,14046,869,F,3,0,B,40,Alimentos,Linguica
,14063,524,F,4,3,C,1,Acessorios,Chupeta
,14076,157,M,1,1,C,9,Alimentos,Arroz Integral
,14094,251,F,2,0,C,219,Alimentos,Batata Doce
,14158,476,M,3,0,C,21,Alimentos,Cenoura
,14249,975,F,3,0,B,213,Alimentos,Cenoura
,14347,577,M,4,0,C,63,Alimentos,Tomate
,14418,753,F,1,3,C,178,Higiene,Lenco Umedecido
,14421,335,F,3,0,C,194,Alimentos,File De Peixe
,14422,752,M,3,0,C,52,Alimentos,Pate
,14448,457,M,3,0,C,30,Alimentos,File De Peixe
,14486,567,F,1,0,C,71,Higiene,Absorvente
,14497,392,M,2,2,C,153,Alimentos,Presunto Cozido
,14518,901,F,4,1,B,191,Higiene,Fralda
,14597,427,M,3,0,B,29,Alimentos,Feijao
,14605,389,F,3,0,C,129,Alimentos,Sardinha
,14644,810,M,1,0,B,180,Alimentos,Leite
,14704,187,M,2,1,B,215,Alimentos,Cafe
,14741,10,M,1,0,B,15,Alimentos,Batata Doce
,14816,792,F,2,0,B,87,Higiene,Protetor Solar
,14822,657,M,2,3,B,53,Alimentos,Presunto Cozido
,14876,488,M,3,2,B,77,Higiene,Fixador
,14940,871,F,1,3,C,84,Higiene,Papel Higienico
,15013,448,F,2,0,A,54,Alimentos,Presunto Cozido
,15106,61,M,1,2,B,75,Higiene,Escova De Dente
,15130,675,M,4,0,B,55,Alimentos,Queijo De Cabra
,15174,965,M,3,0,B,76,Higiene,Fio Dental
,15197,742,M,1,1,C,43,Alimentos,Mamao Papaya
,15227,976,M,4,2,B,43,Alimentos,Mamao Papaya
,15229,299,F,3,1,C,167,Alimentos,Manga
,15319,368,M,4,0,C,170,Alimentos,Macarrao Instantaneo
,15410,121,F,1,2,B,145,Pet,Racao Umida Para Gatos
,15412,129,M,2,0,A,139,Limpeza,Removedor
,15481,956,M,5,1,C,148,Pet,Racao Seca Para Caes
,15526,565,F,1,2,B,33,Alimentos,Iogurte
,15606,300,F,1,3,C,213,Alimentos,Cenoura
,15625,884,F,3,2,C,24,Alimentos,Copa Suina
,15628,237,F,4,3,C,216,Alimentos,Brocolis
,15703,994,M,4,0,C,19,Alimentos,Cafe
,15772,87,M,3,2,A,129,Alimentos,Sardinha
2019-02-05,15869,275,M,4,0,B,206,Alimentos,Coracao De Frango
2019-02-05,15909,444,F,2,0,B,45,Alimentos,Manga
2019-02-05,15951,475,F,4,3,B,106,Limpeza,Odorizador
2019-02-05,16049,267,F,4,2,B,100,Limpeza,Detergente
2019-02-05,16128,222,F,4,0,B,167,Alimentos,Manga
2019-02-05,16221,468,M,3,1,C,144,Bebidas,Refrigerante Cola
2019-02-05,16295,934,F,2,2,B,132,Higiene,Sabonete
2019-02-05,16366,591,M,4,1,B,20,Alimentos,Cebola
2019-02-05,16381,60,F,2,3,B,65,Bebidas,Energetico
2019-02-05,16441,855,M,4,1,C,102,Limpeza,Limpa Vidros
2019-02-05,16469,980,F,1,0,B,191,Higiene,Fralda
2019-02-05,16559,188,M,2,2,B,171,Alimentos,Macarrao
2019-02-05,16577,715,F,3,4,B,27,Alimentos,Danette
2019-02-05,16605,493,M,2,4,B,112,Limpeza,Tira Limo
2019-02-05,16636,522,M,1,2,A,20,Alimentos,Cebola
2019-02-05,16703,473,F,4,3,B,180,Alimentos,Leite
2019-02-05,16707,499,M,3,0,B,170,Alimentos,Macarrao Instantaneo
2019-02-05,16753,686,F,3,2,A,91,Higiene,Talco
2019-02-05,16766,626,M,3,1,C,168,Alimentos,Mamao Papaya
2019-02-05,16847,383,M,1,3,C,224,Alimentos,Azeite
2019-02-05,16912,200,F,3,0,B,59,Alimentos,Salgadinho
2019-02-05,17001,724,M,1,0,B,91,Higiene,Talco
2019-02-05,17072,315,F,3,0,B,208,Higiene,Condicionador
2019-02-05,17107,830,F,5,1,B,8,Alimentos,Arroz
2019-02-05,17201,523,M,3,0,B,126,Higiene,Talco
2019-02-05,17268,766,F,1,0,B,113,Limpeza,Tira Mancha
2019-02-05,17356,433,M,3,3,B,184,Alimentos,Iogurte
2019-02-05,17368,614,F,4,1,B,130,Alimentos,Salgadinhos De Milho
2019-02-05,17453,495,F,2,3,A,18,Alimentos,Brocolis
2019-02-05,17503,820,M,1,4,B,225,Alimentos,Atum
2019-02-05,17565,539,M,2,0,C,152,Alimentos,Presunto Cozido
2019-02-05,17659,721,M,3,2,C,110,Limpeza,Sabao
2019-02-05,17686,61,M,1,2,B,204,Higiene,Creme
2019-02-05,17689,908,M,3,2,C,222,Limpeza,Balde
2019-02-05,17710,70,F,4,0,B,187,Higiene,Hastes Flexiveis
2019-02-05,17756,512,M,4,0,B,140,Bebidas,Refrigerante Outros
2019-02-05,17841,709,F,3,0,B,110,Limpeza,Sabao
2019-02-05,17850,795,F,4,2,B,221,Alimentos,Banana
2019-02-05,17920,161,M,5,2,B,22,Alimentos,Cha
2019-02-05,17936,634,F,2,0,C,71,Higiene,Absorvente
2019-02-05,17982,270,F,3,1,B,85,Higiene,Pasta De Dente
2019-02-05,18056,769,F,3,3,C,36,Alimentos,Lata De Milho
2019-02-05,18076,140,F,1,0,C,171,Alimentos,Macarrao
2019-02-05,18125,589,F,3,2,C,156,Higiene,Pasta De Dente
2019-02-05,18178,353,M,1,2,B,114,Limpeza,Vassoura
2019-02-05,18236,337,M,3,0,B,183,Alimentos,Ketchup
2019-02-05,18242,408,F,4,0,B,200,Limpeza,Detergente
2019-02-05,18269,79,F,2,0,C,136,Alimentos,Ricota
2019-02-05,18272,338,M,2,0,B,66,Bebidas,Refrigerante Cola
2019-02-05,18370,872,M,3,4,A,22,Alimentos,Cha
2019-02-05,18424,863,F,1,4,B,214,Alimentos,Cebola
2019-02-05,18498,844,F,5,1,A,223,Alimentos,Azeitona
2019-02-05,18541,755,M,3,4,B,161,Alimentos,Ovos
2019-02-05,18552,964,M,2,0,B,106,Limpeza,Odorizador
2019-02-05,18623,550,M,4,0,B,108,Limpeza,Removedor
2019-02-05,18645,753,F,1,3,C,55,Alimentos,Queijo De Cabra
2019-02-05,18687,825,M,1,2,C,192,Higiene,Fixador
2019-02-05,18720,658,F,1,1,B,206,Alimentos,Coracao De Frango
2019-02-05,18800,655,M,2,0,B,107,Outros,#N/D
2019-02-05,18878,981,F,4,1,C,210,Acessorios,Chupeta
2019-02-05,18914,573,F,1,0,C,167,Alimentos,Manga
2019-02-05,18954,469,M,4,2,C,13,Alimentos,Banana
2019-02-05,19035,559,F,3,1,A,117,Pet,Racao Seca Para Gatos
2019-02-05,19078,598,F,4,0,B,210,Acessorios,Chupeta
2019-02-05,19084,922,M,1,0,B,30,Alimentos,File De Peixe
2019-02-05,19100,218,M,4,0,B,214,Alimentos,Cebola
2019-02-05,19197,15,M,2,1,C,184,Alimentos,Iogurte
2019-02-05,19274,937,M,3,4,C,223,Alimentos,Azeitona
2019-02-05,19365,145,M,3,0,B,86,Higiene,Preservativo
2019-02-05,19382,819,M,4,0,B,49,Alimentos,Palmito
2019-02-05,19422,548,F,4,0,C,68,Bebidas,Refrigerante Laranja
2019-02-05,19511,479,F,1,0,B,30,Alimentos,File De Peixe
2019-02-05,19561,777,F,1,0,B,71,Higiene,Absorvente
2019-02-05,19581,179,F,2,0,B,39,Alimentos,Limao
2019-02-05,19677,737,F,2,1,C,211,Alimentos,Cha
2019-02-05,19735,561,M,2,0,B,4,Alimentos,Abacaxi
2019-02-05,19823,618,M,4,3,B,192,Higiene,Fixador
2019-02-05,19846,317,M,3,0,B,226,Alimentos,Arroz Integral
2019-02-05,19904,978,F,3,0,C,159,Alimentos,Pao De Forma
2019-02-05,19935,563,M,3,0,B,213,Alimentos,Cenoura
2019-02-05,19949,696,M,2,0,B,71,Higiene,Absorvente
2019-02-05,19977,453,F,1,0,B,33,Alimentos,Iogurte
2019-02-05,20047,669,F,4,0,B,77,Higiene,Fixador
2019-02-05,20057,242,F,4,0,B,38,Alimentos,Leite Condensado
2019-02-05,20139,814,M,4,0,B,183,Alimentos,Ketchup
2019-02-05,20173,306,F,3,0,B,220,Alimentos,Batata
2019-02-05,20255,625,F,4,0,C,66,Bebidas,Refrigerante Cola
2019-02-05,20281,469,M,4,2,C,138,Higiene,Repelente
2019-02-05,20328,636,M,2,2,B,31,Alimentos,Granola
2019-02-05,20388,961,F,1,0,C,3,Alimentos,Abacate
2019-02-05,20479,43,M,2,0,B,196,Higiene,Escova De Dente
2019-02-05,20550,319,M,1,4,B,197,Higiene,Enxaguante Bucal
2019-02-06,20646,74,M,3,0,C,137,Alimentos,Requeijao
2019-02-06,20709,207,F,3,0,B,183,Alimentos,Ketchup
2019-02-06,20774,3,F,4,0,B,71,Higiene,Absorvente
2019-02-06,20809,614,F,4,1,B,67,Bebidas,Refrigerante Guarana
2019-02-06,20891,117,M,2,3,B,211,Alimentos,Cha
2019-02-06,20938,498,M,3,2,B,74,Higiene,Enxaguante Bucal
2019-02-06,20997,588,F,1,4,C,139,Limpeza,Removedor
2019-02-06,21023,532,F,2,3,B,166,Higiene,Modelador
2019-02-06,21063,739,F,2,3,B,190,Higiene,Gel
2019-02-06,21095,326,F,1,0,B,1,Acessorios,Chupeta
2019-02-06,21160,791,F,1,0,B,164,Acessorios,Mordedor
2019-02-06,21166,180,M,3,4,B,188,Alimentos,Hambuguer
2019-02-06,21244,594,F,3,1,C,156,Higiene,Pasta De Dente
2019-02-06,21282,308,M,4,0,B,85,Higiene,Pasta De Dente
2019-02-06,21290,673,F,5,1,B,46,Alimentos,Molho Barbecue
2019-02-06,21292,390,F,2,0,B,222,Limpeza,Balde
2019-02-06,21365,338,M,2,0,B,15,Alimentos,Batata Doce
2019-02-06,21442,25,M,4,1,C,76,Higiene,Fio Dental
2019-02-06,21499,396,F,1,0,B,24,Alimentos,Copa Suina
2019-02-06,21565,540,F,2,0,C,159,Alimentos,Pao De Forma
2019-02-06,21606,111,M,2,4,C,39,Alimentos,Limao
2019-02-06,21619,117,M,2,3,B,15,Alimentos,Batata Doce
2019-02-06,21682,641,F,4,0,C,130,Alimentos,Salgadinhos De Milho
2019-02-06,21757,389,F,3,0,C,45,Alimentos,Manga
2019-02-06,21845,985,M,1,0,B,7,Alimentos,Almondega
2019-02-06,21904,176,F,2,0,B,160,Alimentos,Palmito
2019-02-06,21993,316,F,3,2,B,39,Alimentos,Limao
2019-02-06,22022,208,M,3,0,B,211,Alimentos,Cha
2019-02-06,22046,649,F,3,0,B,59,Alimentos,Salgadinho
